Timestamp,CPU_Percent,RAM_Used_MB
1766002747,3.3,1711
1766002748,24.1,1707
1766002749,46.7,2080
1766002750,34.5,2320
1766002752,38,2391
1766002753,38.6,2474
1766002754,9.9,2532
1766002755,12.2,2537
1766002757,7.3,2532
1766002758,13.4,2520
1766002759,7.4,2506
1766002760,12,2461
1766002761,18.5,2464
1766002763,12.9,2461
1766002764,9.6,2464
1766002765,10.7,2460
1766002766,9.6,2460
1766002768,10,2467
1766002769,30.9,2683
1766002770,23.8,3061
1766002771,65.1,3281
1766002772,70.7,3315
1766002774,68.4,3317
1766002775,67.1,3303
1766002776,67.9,3291
1766002777,68.4,3304
1766002779,70.6,3323
1766002780,63,3301
1766002781,67.8,3314
1766002782,66.2,3328
1766002784,60.8,3297
1766002785,67.4,3310
1766002786,71.1,3307
1766002787,68.4,3307
1766002788,71.8,3329
1766002790,65.8,3335
1766002791,65.8,3352
1766002792,70.9,3333
1766002793,93,3346
1766002795,65.4,3350
1766002796,70.4,3346
1766002797,67.1,3369
1766002798,69.2,3372
1766002799,65.4,3363
1766002801,67.1,3347
1766002802,63.8,3380
1766002803,65.4,3364
1766002804,67.9,3392
1766002806,67.5,3382
1766002807,67.9,3384
1766002808,68.5,3358
1766002809,69.9,3376
1766002811,62.2,3365
1766002812,67.9,3385
1766002813,70.2,3372
1766002814,69,3370
1766002815,69.1,3367
1766002817,66.2,3365
1766002818,70.4,3364
1766002819,70.7,3364
1766002820,69.6,2560
1766002822,68.4,2548
