Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019636,6.1,14117,0, 2009
1766019637,60.5,14283,0, 2009
1766019639,0.6,15100,0, 2009
1766019640,4.9,15218,0, 2009
1766019641,6,15237,0, 2009
1766019643,6.6,15236,0, 2009
1766019644,4.2,15249,0, 2009
1766019645,6.8,15218,0, 2009
1766019646,6.9,16116,0, 2856
1766019648,4.2,17095,8, 3160
1766019649,2.5,17128,10, 3160
1766019650,2.5,17169,10, 3160
1766019651,3.9,17219,9, 3160
1766019653,4.7,17228,8, 3160
1766019654,3.4,17249,10, 3160
1766019655,2.3,17259,6, 3160
1766019656,3.6,17249,9, 3160
1766019658,2.5,17244,10, 3160
1766019659,4.7,17203,12, 3160
1766019660,3.6,17185,8, 3160
1766019661,2.5,17155,10, 3160
1766019663,2.8,17143,8, 3160
1766019664,2.2,17145,8, 3160
1766019665,3.7,17128,8, 3160
1766019666,3.1,17108,6, 3160
1766019668,3.1,17139,6, 3160
1766019669,2.5,17147,7, 3160
1766019670,4.1,17137,8, 3160
1766019671,5.1,17126,8, 3160
1766019673,3.4,17118,7, 3160
1766019674,3.1,17117,9, 3160
1766019675,3.1,17114,12, 3160
1766019676,4.1,17091,8, 3160
1766019678,4.5,17113,6, 3160
1766019679,3.3,17106,7, 3160
1766019680,1.7,17110,6, 3160
1766019681,3.9,17082,7, 3160
1766019683,2.7,17097,10, 3160
1766019684,5.3,17096,9, 3160
1766019685,2.8,17088,9, 3160
1766019686,2.5,17095,12, 3160
1766019688,3.1,17098,8, 3160
1766019689,2.8,17105,8, 3160
1766019690,5.8,17126,6, 3160
1766019691,2.8,16776,8, 3160
1766019693,0.3,16377,0, 3160
1766019694,0.3,16378,0, 3160
