Timestamp,CPU_Percent,RAM_Used_MB
1765978986,18.6,1303
1765978987,14.3,1303
1765978988,100,1702
1765978990,2.3,2224
1765978991,34.1,2259
1765978992,27.5,2260
1765978993,31,2287
1765978994,35.7,2304
1765978996,55.3,2298
1765978997,40.5,2300
1765978998,29.3,2288
1765978999,28.6,2303
1765979001,53.8,2295
1765979002,9.3,2981
1765979003,100,3122
1765979004,100,3165
1765979006,100,3147
1765979007,100,3190
1765979008,100,3182
1765979009,100,3172
1765979011,100,3142
1765979012,100,3147
1765979013,100,3150
1765979014,100,3147
1765979016,100,3188
1765979017,100,3178
1765979018,100,3176
1765979019,100,3165
1765979021,100,3160
1765979022,100,3204
1765979023,100,3222
1765979024,100,3201
1765979026,100,3209
1765979027,100,3166
1765979028,100,3166
1765979029,100,3201
1765979031,100,3180
1765979032,100,3175
1765979033,100,3155
1765979034,100,3193
1765979036,100,3159
1765979037,100,3163
1765979038,100,3156
1765979039,100,3160
1765979040,100,3197
1765979042,100,3149
1765979043,100,3157
1765979044,100,3192
1765979045,100,3159
1765979047,100,3167
1765979048,100,3186
1765979049,100,2534
1765979050,100,2547
1765979052,4.4,2560
