Timestamp,CPU_Percent,RAM_Used_MB
1765979550,13.6,1318
1765979551,100,1464
1765979552,76.2,2237
1765979553,50,2257
1765979554,48.8,2299
1765979556,41.5,2298
1765979557,31,2300
1765979558,30.2,2306
1765979559,22.5,2298
1765979561,31,2301
1765979562,71.1,2326
1765979563,13,2983
1765979564,100,3116
1765979566,100,3183
1765979567,100,3153
1765979568,100,3146
1765979569,100,3200
1765979571,100,3181
1765979572,100,3209
1765979573,100,3223
1765979574,100,3179
1765979576,100,3164
1765979577,100,3190
1765979578,100,3170
1765979579,100,3182
1765979580,100,3176
1765979582,100,3196
1765979583,100,3158
1765979584,100,3168
1765979585,100,3155
1765979587,100,3182
1765979588,100,3160
1765979589,100,3161
1765979590,93.2,3157
1765979592,100,3189
1765979593,100,3170
1765979594,100,3172
1765979595,100,3183
1765979597,100,3174
1765979598,100,3183
1765979599,100,3153
1765979600,100,3156
1765979602,100,3152
1765979603,100,3207
1765979604,100,3211
1765979605,100,3219
1765979607,100,3183
1765979608,100,3180
1765979609,100,3147
1765979610,100,2650
1765979612,6.8,2557
