Timestamp,Scene,Model,FPS_Hz,Latency_ms,Jitter_cm,Recall_Gain_Pct,Dup_Suppression_Pct
2025-12-17 20:17:12,Scene_1,v8n,0.0000,0.00,0.00,0.00,0.00
2025-12-17 20:18:30,Scene_1,v8n,3.1337,53.02,30.19,61.54,100.00
2025-12-17 20:20:21,Scene_2,v8n,3.2342,42.29,36.62,65.31,100.00
2025-12-17 20:22:09,Scene_3,v8n,3.0305,37.53,47.38,53.85,100.00
2025-12-17 20:24:49,Scene_4,v8n,2.9575,44.80,20.07,0.00,100.00
2025-12-17 20:27:03,Scene_4,v10n,2.7368,43.13,17.19,50.00,100.00
2025-12-17 20:28:40,Scene_3,v10n,2.9203,51.39,23.09,61.90,100.00
2025-12-17 20:30:16,Scene_2,v10n,2.8558,43.00,31.72,55.56,100.00
2025-12-17 20:31:42,Scene_1,v10n,2.9620,35.45,29.18,21.43,96.43
2025-12-17 20:33:16,Scene_1,v11n,2.8867,52.45,30.42,10.00,95.83
2025-12-17 20:34:54,Scene_2,v11n,3.0660,30.49,27.39,64.71,100.00
2025-12-17 20:36:38,Scene_3,v11n,3.1387,58.08,30.16,52.17,95.74
2025-12-17 20:38:13,Scene_4,v11n,2.8723,44.97,18.20,100.00,100.00
