Timestamp,Scene,Model,FPS_Hz,Latency_ms,Jitter_cm,Recall_Gain_Pct,Dup_Suppression_Pct
2025-12-17 16:50:30,Scene1,v8n,23.0933,2.13,6.21,100.00,100.00
2025-12-17 16:51:54,Scene2,v8n,26.3722,1.87,6.24,100.00,100.00
2025-12-17 16:53:25,Scene3,v8n,23.0081,1.13,13.75,95.56,100.00
2025-12-17 16:54:47,Scene4,v8n,23.3069,0.78,5.11,96.97,100.00
2025-12-17 16:56:10,Scene4,v10n,23.1660,0.98,3.11,100.00,100.00
2025-12-17 16:57:36,Scene3,v10n,22.9634,1.16,5.85,99.33,100.00
2025-12-17 16:59:00,Scene2,v10n,27.0047,1.13,9.14,99.39,100.00
2025-12-17 17:00:15,Scene1,v10n,23.2368,1.94,5.99,98.37,100.00
2025-12-17 17:01:34,Scene1,v11n,23.7467,0.93,8.50,100.00,100.00
2025-12-17 17:02:54,Scene2,v11n,27.1659,1.22,6.41,100.00,100.00
2025-12-17 17:04:14,Scene3,v11n,22.5948,2.42,8.19,97.62,100.00
2025-12-17 17:05:31,Scene4,v11n,22.9883,2.27,4.29,100.00,99.58
