Timestamp,Scene,Model,FPS_Hz,Latency_ms,Jitter_cm,Recall_Gain_Pct,Dup_Suppression_Pct
2025-12-17 05:30:43,Scene1,v8n,4.3994,41.00,21.45,82.35,100.00
2025-12-17 05:33:09,Scene2,v8n,4.9183,34.47,25.58,87.27,100.00
2025-12-17 05:34:51,Scene3,v8n,4.4748,46.09,28.95,80.00,98.41
2025-12-17 05:37:08,Scene4,v8n,4.2620,40.05,17.39,90.91,100.00
2025-12-17 05:40:07,Scene4,v10n,4.2247,42.16,11.27,66.67,100.00
2025-12-17 05:44:11,Scene3,v10n,4.3666,37.06,20.64,77.27,97.83
2025-12-17 05:46:08,Scene2,v10n,5.4478,35.54,27.07,61.40,100.00
2025-12-17 05:47:56,Scene1,v10n,5.1577,33.73,22.59,66.67,97.73
2025-12-17 05:49:44,Scene1,v11n,4.2517,39.79,16.71,58.33,100.00
2025-12-17 05:51:51,Scene2,v11n,5.2988,36.05,17.12,82.43,100.00
2025-12-17 05:53:31,Scene3,v11n,5.3176,38.55,21.86,67.86,100.00
2025-12-17 05:55:16,Scene4,v11n,4.0664,30.43,18.00,66.67,98.51
